codigo_interno,resina,densidad_de_bulto,temperatura_secado,tiempo_secado,densidad
PPS059,Ryton R4XT,,150,4,1690
PP725,PPH2TF4 Black B46008,500,0,0,1500
PP709,POLYFORT FPP 1697HU -3399 NERO,,0,0,
PP702,POLYFORT PP 2268X-01 NATURAL,,0,0,
PPO010,NORYL SE1 NOIR701 V1,,100,3,1100
PA1432,ECOMID B GF20 BK 9005/Z,642,90,4,
POM047,DELRIN 500BK602 BLACK,,90,4,1420
PA1451,ECOMID B GF20 BK 9005/1,642,90,4,
POM236,DELRIN 500PE BK 602,,90,4,1420
PC567,Lexan 143R 112 Natural,,100,2,1900
PBT234,VALOX 420 SEO BK1066,767,120,4,
ELAS179,,400,80,2,
